notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
DZSN,Precipitation of drizzle and snow,Precipitation of drizzle and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZSN,stable
DZSNRA,"Precipitation of drizzle, snow and rain","Precipitation of drizzle, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZSNRA,stable
FC,Funnel cloud(s) (tornado or water-spout),Funnel cloud(s) (tornado or water-spout),,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FC,stable
FG,Fog,Fog,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FG,stable
FU,Smoke,Smoke,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FU,stable
FZDZ,Precipitation of freezing drizzle,Precipitation of freezing drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZDZ,stable
FZDZRA,Precipitation of freezing drizzle and rain,Precipitation of freezing drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZDZRA,stable
FZFG,Freezing fog,Freezing fog,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZFG,stable
FZRA,Precipitation of freezng rain,Precipitation of freezng rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZRA,stable
FZRADZ,Precipitation of freezing rain and drizzle,Precipitation of freezing rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZRADZ,stable
FZUP,Unidentified freezing precipitation,Unidentified freezing precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZUP,stable
HZ,Haze,Haze,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/HZ,stable
MIFG,Shallow fog,Shallow fog,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/MIFG,stable
PL,Precipitation of ice pellets,Precipitation of ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PL,stable
PLDZ,Precipitation of ice pellets and drizzle,Precipitation of ice pellets and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLDZ,stable
PLDZRA,"Precipitation of ice pellets, drizzle and rain","Precipitation of ice pellets, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLDZRA,stable
PLRA,Precipitation of ice pellets and rain,Precipitation of ice pellets and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLRA,stable
PLRADZ,"Precipitation of ice pellets, rain and drizzle","Precipitation of ice pellets, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLRADZ,stable
PLRASN,"Precipitation of ice pellets, rain and snow","Precipitation of ice pellets, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLRASN,stable
PLSG,Precipitation of ice pellets and snow grains,Precipitation of ice pellets and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLSG,stable
PLSGSN,"Precipitation of ice pellets, snow grains and snow","Precipitation of ice pellets, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLSGSN,stable
PLSN,Precipitation of ice pellets and snow,Precipitation of ice pellets and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLSN,stable
PLSNRA,"Precipitation of ice pellets, snow and rain","Precipitation of ice pellets, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLSNRA,stable
PLSNSG,"Precipitation of ice pellets, snow and snow grains","Precipitation of ice pellets, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PLSNSG,stable
PO,Dust/sand whirls (dust devils),Dust/sand whirls (dust devils),,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PO,stable
PRFG,Partial fog (covering part of the aerodrome),Partial fog (covering part of the aerodrome),,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PRFG,stable
RA,Precipitation of rain,Precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RA,stable
RADZ,Precipitation of rain and drizzle,Precipitation of rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RADZ,stable
RADZPL,"Precipitation of rain, drizzle and ice pellets","Precipitation of rain, drizzle and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RADZPL,stable
RADZSG,"Precipitation of rain, drizzle and snow grains","Precipitation of rain, drizzle and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RADZSG,stable
RADZSN,"Precipitation of rain, drizzle and snow","Precipitation of rain, drizzle and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RADZSN,stable
RAPL,Precipitation of rain and ice pellets,Precipitation of rain and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RAPL,stable
RAPLDZ,"Precipitation of rain, ice pellets and drizzle","Precipitation of rain, ice pellets and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RAPLDZ,stable
RAPLSN,"Precipitation of rain, ice pellets and snow","Precipitation of rain, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RAPLSN,stable
RASG,Precipitation of rain and snow grains,Precipitation of rain and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASG,stable
RASGDZ,"Precipitation of rain, snow grains and drizzle","Precipitation of rain, snow grains and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASGDZ,stable
RASGSN,"Precipitation of rain, snow grains and snow","Precipitation of rain, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASGSN,stable
RASN,Precipitation of rain and snow,Precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASN,stable
RASNDZ,"Precipitation of rain, snow and drizzle","Precipitation of rain, snow and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASNDZ,stable
RASNPL,"Precipitation of rain, snow and ice pellets","Precipitation of rain, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASNPL,stable
RASNSG,"Precipitation of rain, snow and snow grains","Precipitation of rain, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASNSG,stable
SA,Sand,Sand,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SA,stable
SG,Precipitation of snow grains,Precipitation of snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SG,stable
SGDZ,Precipitation of snow grains and drizzle,Precipitation of snow grains and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGDZ,stable
SGDZRA,"Precipitation of snow grains, drizzle and rain","Precipitation of snow grains, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGDZRA,stable
SGPL,Precipitation of snow grains and ice pellets,Precipitation of snow grains and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGPL,stable
SGPLSN,"Precipitation of snow grains, ice pellets and snow","Precipitation of snow grains, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGPLSN,stable
SGRA,Precipitation of snow grains and rain,Precipitation of snow grains and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGRA,stable
SGRADZ,"Precipitation of snow grains, rain and drizzle","Precipitation of snow grains, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGRADZ,stable
SGRASN,"Precipitation of snow grains, rain and snow","Precipitation of snow grains, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGRASN,stable
SGSN,Precipitation of snow grains and snow,Precipitation of snow grains and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGSN,stable
SGSNPL,"Precipitation of snow grains, snow and ice pellets","Precipitation of snow grains, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGSNPL,stable
SGSNRA,"Precipitation of snow grains, snow and rain","Precipitation of snow grains, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SGSNRA,stable
SHGR,Showery precipitation of hail,Showery precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGR,stable
SHGRRA,Showery precipitation of hail and rain,Showery precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGRRA,stable
SHGRRASN,"Showery precipitation of hail, rain and snow","Showery precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGRRASN,stable
SHGRSN,Showery precipitation of hail and snow,Showery precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGRSN,stable
SHGRSNRA,"Showery precipitation of hail, snow and rain","Showery precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGRSNRA,stable
SHGS,Showery precipitation of snow pellets/small hail,Showery precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGS,stable
SHGSRA,Showery precipitation of snow pellets/small hail and rain,Showery precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGSRA,stable
SHGSRASN,"Showery precipitation of snow pellets/small hail, rain and snow","Showery precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGSRASN,stable
SHGSSN,Showery precipitation of snow pellets/small hail and snow,Showery precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGSSN,stable
SHGSSNRA,"Showery precipitation of snow pellets/small hail, snow and rain","Showery precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGSSNRA,stable
SHRA,Showery precipitation of rain,Showery precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRA,stable
SHRAGR,Showery precipitation of rain and hail,Showery precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRAGR,stable
SHRAGRSN,"Showery precipitation of rain, hail and snow","Showery precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRAGRSN,stable
SHRAGS,Showery precipitation of rain and snow pellets/small hail,Showery precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRAGS,stable
SHRAGSSN,"Showery precipitation of rain, snow pellets/small hail and snow","Showery precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRAGSSN,stable
SHRASN,Showery precipitation of rain and snow,Showery precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRASN,stable
SHRASNGR,"Showery precipitation of rain, snow and hail","Showery precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRASNGR,stable
SHRASNGS,"Showery precipitation of rain, snow and snow pellets/small hail","Showery precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRASNGS,stable
SHSN,Showery precipitation of snow,Showery precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSN,stable
SHSNGR,Showery precipitation of snow and hail,Showery precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNGR,stable
SHSNGRRA,"Showery precipitation of snow, hail and rain","Showery precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNGRRA,stable
SHSNGS,Showery precipitation of snow and snow pellets/small hail,Showery precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNGS,stable
SHSNGSRA,"Showery precipitation of snow, snow pellets/small hail and rain","Showery precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNGSRA,stable
SHSNRA,Showery precipitation of snow and rain,Showery precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNRA,stable
SHSNRAGR,"Showery precipitation of snow, rain and hail","Showery precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNRAGR,stable
SHSNRAGS,"Showery precipitation of snow, rain and snow pellets/small hail","Showery precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSNRAGS,stable
SHUP,Unidentified showery precipitation,Unidentified showery precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHUP,stable
SN,Precipitation of snow,Precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SN,stable
SNDZ,Precipitation of snow and drizzle,Precipitation of snow and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNDZ,stable
SNDZRA,"Precipitation of snow, drizzle and rain","Precipitation of snow, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNDZRA,stable
SNPL,Precipitation of snow and ice pellets,Precipitation of snow and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNPL,stable
SNPLRA,"Precipitation of snow, ice pellets and rain","Precipitation of snow, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNPLRA,stable
SNPLSG,"Precipitation of snow, ice pellets and snow grains","Precipitation of snow, ice pellets and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNPLSG,stable
SNRA,Precipitation of snow and rain,Precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNRA,stable
SNRADZ,"Precipitation of snow, rain and drizzle","Precipitation of snow, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNRADZ,stable
SNRAPL,"Precipitation of snow, rain and ice pellets","Precipitation of snow, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNRAPL,stable
SNRASG,"Precipitation of snow, rain and snow grains","Precipitation of snow, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNRASG,stable
SNSG,Precipitation of snow and snow grains,Precipitation of snow and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNSG,stable
SNSGPL,"Precipitation of snow, snow grains and ice pellets","Precipitation of snow, snow grains and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNSGPL,stable
SNSGRA,"Precipitation of snow, snow grains and rain","Precipitation of snow, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SNSGRA,stable
SQ,Squalls,Squalls,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SQ,stable
SS,Sandstorm,Sandstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SS,stable
TS,Thunderstorm,Thunderstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TS,stable
TSGR,Thunderstorm with precipitation of hail,Thunderstorm with precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGR,stable
TSGRRA,Thunderstorm with precipitation of hail and rain,Thunderstorm with precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGRRA,stable
TSGRRASN,"Thunderstorm with precipitation of hail, rain and snow","Thunderstorm with precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGRRASN,stable
TSGRSN,Thunderstorm with precipitation of hail and snow,Thunderstorm with precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGRSN,stable
TSGRSNRA,"Thunderstorm with precipitation of hail, snow and rain","Thunderstorm with precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGRSNRA,stable
TSGS,Thunderstorm with precipitation of snow pellets/small hail,Thunderstorm with precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGS,stable
TSGSRA,Thunderstorm with precipitation of snow pellets/small hail and rain,Thunderstorm with precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGSRA,stable
TSGSRASN,"Thunderstorm with precipitation of snow pellets/small hail, rain and snow","Thunderstorm with precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGSRASN,stable
TSGSSN,Thunderstorm with precipitation of snow pellets/small hail and snow,Thunderstorm with precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGSSN,stable
TSGSSNRA,"Thunderstorm with precipitation of snow pellets/small hail, snow and rain","Thunderstorm with precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGSSNRA,stable
TSRA,Thunderstorm with precipitation of rain,Thunderstorm with precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRA,stable
TSRAGR,Thunderstorm with precipitation of rain and hail,Thunderstorm with precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRAGR,stable
TSRAGRSN,"Thunderstorm with precipitation of rain, hail and snow","Thunderstorm with precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRAGRSN,stable
TSRAGS,Thunderstorm with precipitation of rain and snow pellets/small hail,Thunderstorm with precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRAGS,stable
TSRAGSSN,"Thunderstorm with precipitation of rain, snow pellets/small hail and snow","Thunderstorm with precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRAGSSN,stable
TSRASN,Thunderstorm with precipitation of rain and snow,Thunderstorm with precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRASN,stable
TSRASNGR,"Thunderstorm with precipitation of rain, snow and hail","Thunderstorm with precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRASNGR,stable
TSRASNGS,"Thunderstorm with precipitation of rain, snow and snow pellets/small hail","Thunderstorm with precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRASNGS,stable
TSSN,Thunderstorm with precipitation of snow,Thunderstorm with precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSN,stable
TSSNGR,Thunderstorm with precipitation of snow and hail,Thunderstorm with precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNGR,stable
TSSNGRRA,"Thunderstorm with precipitation of snow, hail and rain","Thunderstorm with precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNGRRA,stable
TSSNGS,Thunderstorm with precipitation of snow and snow pellets/small hail,Thunderstorm with precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNGS,stable
TSSNGSRA,"Thunderstorm with precipitation of snow, snow pellets/small hail and rain","Thunderstorm with precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNGSRA,stable
TSSNRA,Thunderstorm with precipitation of snow and rain,Thunderstorm with precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNRA,stable
TSSNRAGR,"Thunderstorm with precipitation of snow, rain and hail","Thunderstorm with precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNRAGR,stable
TSSNRAGS,"Thunderstorm with precipitation of snow, rain and snow pellets/small hail","Thunderstorm with precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSNRAGS,stable
TSUP,Thunderstorm with unidentified precipitation,Thunderstorm with unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSUP,stable
UP,Unidentified precipitation,Unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/UP,stable
VA,Volcanic ash,Volcanic ash,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VA,stable
VCBLDU,Blowing dust in the vicinity,Blowing dust in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCBLDU,stable
VCBLSA,Blowing sand in the vicinity,Blowing sand in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCBLSA,stable
VCBLSN,Blowing snow in the vicinity,Blowing snow in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCBLSN,stable
VCDS,Duststorm in the vicinity,Duststorm in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCDS,stable
VCFC,Funnel cloud(s) (tornado or water-spout) in the vicinity,Funnel cloud(s) (tornado or water-spout) in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCFC,stable
VCFG,Fog in the vicinity,Fog in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCFG,stable
VCPO,Dust/sand whirls (dust devils) in the vicinity,Dust/sand whirls (dust devils) in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCPO,stable
VCSH,Shower(s) in the vicinity,Shower(s) in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCSH,stable
VCSS,Sandstorm in the vicinity,Sandstorm in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCSS,stable
VCTS,Thunderstorm in the vicinity,Thunderstorm in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCTS,stable
VCVA,Volcanic ash in the vicinity,Volcanic ash in the vicinity,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VCVA,stable
